timestamp,R,S,T,U,V,W,G,H,I,J,K,L,A,B,C,D,E,F
2025-05-05 12:05:03,164,49,16,12,20,7,133,150,88,26,4,3,4,22,69,34,114,191
2025-05-05 12:05:20,312,66,24,16,33,9,193,239,146,42,6,5,10,91,327,157,227,289
2025-05-05 12:05:36,310,66,24,16,33,9,192,239,146,42,6,5,10,91,326,158,227,291
2025-05-05 12:05:53,311,66,24,16,33,9,192,239,146,42,6,5,10,91,325,158,226,291
2025-05-05 12:06:09,311,66,23,16,33,9,192,240,146,42,6,5,10,91,326,158,226,291
2025-05-05 12:06:26,311,66,23,16,33,9,192,239,146,42,6,5,10,91,327,157,227,291
2025-05-05 12:06:42,312,66,24,16,33,9,192,240,146,42,6,5,10,91,327,157,226,291
2025-05-05 12:07:00,311,66,24,16,33,9,192,239,146,42,6,5,10,91,327,158,227,291
2025-05-05 12:07:16,311,66,23,16,33,9,192,240,146,42,6,5,10,91,326,158,226,291
2025-05-05 12:07:32,311,66,24,16,33,9,192,240,146,42,6,5,10,90,324,157,225,290
2025-05-05 12:07:48,311,66,23,16,33,9,192,240,146,42,6,5,10,91,325,157,226,290
2025-05-05 12:08:06,311,66,24,16,33,9,192,240,146,42,6,5,10,91,325,157,226,289
2025-05-05 12:08:17,310,66,23,16,33,9,192,239,146,42,6,5,10,91,325,157,226,289
