timestamp,R,S,T,U,V,W,G,H,I,J,K,L,A,B,C,D,E,F
2025-05-05 11:59:56,241,55,18,13,26,8,160,198,122,34,5,4,8,70,261,123,175,228
2025-05-05 12:00:13,241,55,18,13,26,8,160,199,122,34,5,4,8,70,262,123,176,229
2025-05-05 12:00:24,241,55,18,13,26,8,160,199,122,34,5,4,8,70,261,123,176,228
2025-05-05 12:00:41,241,55,18,13,25,8,160,198,122,34,5,4,8,69,259,123,174,228
2025-05-05 12:00:57,241,55,18,13,25,8,160,199,122,34,5,4,8,70,262,123,176,228
2025-05-05 12:01:13,241,55,18,13,25,8,160,199,122,34,5,4,8,70,262,123,176,228
2025-05-05 12:01:30,241,55,18,13,25,8,160,198,122,34,5,4,8,70,261,123,175,228
2025-05-05 12:01:46,242,55,18,13,26,8,161,200,123,34,5,4,8,70,262,123,176,229
2025-05-05 12:02:02,241,55,18,13,25,8,160,199,122,34,5,4,8,70,261,123,176,228
2025-05-05 12:02:13,242,55,18,13,26,8,161,200,123,34,5,4,8,70,261,123,175,229
2025-05-05 12:02:30,242,56,18,13,26,8,161,200,123,34,5,4,8,70,262,122,177,227
2025-05-05 12:02:46,242,56,19,13,26,8,161,200,123,34,5,4,8,70,263,123,177,227
2025-05-05 12:02:57,242,56,18,13,26,8,161,200,122,34,5,4,8,70,262,123,176,229
2025-05-05 12:03:14,242,56,19,13,26,8,161,200,123,34,5,4,8,70,263,123,176,229
2025-05-05 12:03:30,242,56,18,13,26,8,161,200,123,34,5,4,8,70,261,123,176,229
2025-05-05 12:03:41,242,55,18,13,25,8,161,200,123,34,5,4,8,70,262,123,177,229
