timestamp,R,S,T,U,V,W,G,H,I,J,K,L,A,B,C,D,E,F
2025-06-04 12:55:03,618,148,56,37,68,23,443,554,360,96,11,9,15,46,146,125,308,494
2025-06-04 12:55:04,617,148,56,37,68,23,444,554,360,96,11,9,15,46,147,125,308,494
2025-06-04 12:55:05,617,148,56,37,68,23,443,554,360,95,11,9,15,46,147,125,308,493
2025-06-04 12:55:06,617,148,56,37,68,23,444,554,360,96,11,9,15,46,146,125,307,494
2025-06-04 12:55:07,617,148,56,37,68,23,443,554,360,96,11,9,15,46,147,125,308,494
2025-06-04 12:55:08,617,148,56,37,68,23,443,554,360,96,11,9,15,46,147,125,308,493
2025-06-04 12:55:10,617,148,56,37,68,23,444,554,360,96,11,9,15,46,147,125,308,494
2025-06-04 12:55:11,618,148,56,37,68,23,444,555,360,96,11,9,15,46,146,125,308,494
2025-06-04 12:55:12,618,148,56,37,68,23,444,555,360,96,11,9,15,46,147,125,308,494
2025-06-04 12:55:13,618,149,56,38,68,23,444,555,361,96,11,9,15,46,147,125,308,494
2025-06-04 12:55:14,619,149,56,38,68,24,445,556,361,96,11,9,15,46,147,126,309,495
2025-06-04 12:55:15,619,149,56,38,68,24,445,556,361,96,11,9,15,46,147,126,309,496
2025-06-04 12:55:17,620,149,56,38,68,24,445,556,361,96,11,9,15,46,147,126,309,496
2025-06-04 12:55:18,619,149,56,38,68,24,445,557,362,96,11,9,15,46,147,126,309,496
2025-06-04 12:55:19,620,149,56,38,68,24,446,557,362,96,11,9,15,46,147,126,309,496
2025-06-04 12:55:20,621,149,56,38,68,24,446,558,362,96,11,9,15,46,147,126,310,497
2025-06-04 12:55:21,620,149,56,38,68,24,446,558,362,96,11,9,15,46,147,126,310,496
2025-06-04 12:55:23,621,149,56,38,68,24,447,558,362,96,11,9,15,46,147,126,310,497
2025-06-04 12:55:24,622,149,56,38,68,24,447,558,362,96,11,9,15,46,147,126,310,497
2025-06-04 12:55:25,622,149,56,38,68,24,447,558,363,96,11,9,15,46,148,126,310,497
2025-06-04 12:55:26,622,149,56,38,68,24,446,558,363,96,11,9,15,46,148,126,310,497
2025-06-04 12:55:27,622,149,56,38,68,24,447,558,363,96,11,9,15,46,148,126,310,498
2025-06-04 12:55:28,622,150,57,38,68,24,447,558,363,97,11,9,15,46,148,126,310,498
2025-06-04 12:55:30,622,150,57,38,68,24,447,559,363,97,11,9,15,46,148,126,310,497
2025-06-04 12:55:31,622,150,57,38,69,24,447,558,363,97,11,9,15,46,148,126,310,498
2025-06-04 12:55:48,622,150,57,38,68,24,447,559,363,97,11,9,15,46,148,126,310,498
2025-06-04 12:56:21,622,150,57,38,69,24,447,559,362,97,11,9,15,46,147,126,309,498
2025-06-04 12:56:32,619,149,56,38,68,24,445,556,361,96,11,9,15,46,147,126,309,495
2025-06-04 12:56:48,623,150,57,38,69,24,447,559,363,97,11,9,15,46,148,126,310,498
2025-06-04 12:57:05,624,150,57,38,69,24,449,561,364,97,12,9,15,46,148,127,311,500
2025-06-04 12:57:16,624,150,57,38,69,24,449,561,364,97,12,9,15,46,148,127,311,499
2025-06-04 12:57:27,625,150,57,38,69,24,449,560,364,97,12,9,15,46,148,127,312,499
2025-06-04 12:57:44,624,150,57,38,69,24,449,561,364,97,12,9,15,46,148,127,311,500
2025-06-04 12:58:00,621,150,56,38,68,24,447,558,363,96,11,9,15,46,148,126,311,497
