timestamp,R,S,T,U,V,W,G,H,I,J,K,L,A,B,C,D,E,F
2025-06-04 12:26:35,75,19,14,10,12,5,113,87,42,17,4,3,7,89,416,186,230,225
2025-06-04 12:26:47,75,19,14,10,12,5,113,87,42,17,4,3,7,89,416,186,230,225
2025-06-04 12:27:03,75,19,14,10,12,5,113,87,42,17,4,3,7,89,416,186,230,224
2025-06-04 12:27:14,75,19,14,10,12,5,113,87,42,17,4,3,7,89,415,187,230,226
2025-06-04 12:27:31,74,19,14,10,12,5,113,87,42,17,4,3,7,89,414,185,229,224
2025-06-04 12:27:42,74,19,14,10,12,5,113,87,42,17,4,3,7,89,415,186,230,225
2025-06-04 12:27:58,63,16,12,9,10,4,95,73,36,14,3,3,6,74,353,160,194,189
2025-06-04 12:28:15,74,19,14,10,12,5,113,87,42,17,4,3,7,89,414,186,229,225
2025-06-04 12:28:31,75,19,14,10,12,5,113,87,42,17,4,3,7,89,417,187,231,226
2025-06-04 12:28:48,75,19,14,10,12,5,114,87,42,17,4,3,7,89,417,186,231,225
2025-06-04 12:29:00,75,19,14,10,12,5,113,87,42,17,4,3,7,89,416,187,230,226
2025-06-04 12:29:16,76,20,14,10,12,5,115,89,43,18,4,3,7,91,424,189,235,229
2025-06-04 12:29:33,76,20,14,10,12,5,116,89,43,18,4,3,7,91,425,190,235,231
2025-06-04 12:29:49,73,19,14,10,11,5,112,86,41,17,4,3,7,88,409,184,226,222
